Port country;Port name;Port code;Port location;Latitude;Longitude;Port salinity min;Port salinity max;Target category
SE;Nynäshamn guest harbour;SE_NYGH;NG_artificial_habitat_3;58.89948654174805;17.95227813720703;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_fouling_plate_1;58.8993034362793;17.952436447143555;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_fouling_plate_2;58.89900588989258;17.953208923339844;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_fouling_plate_3;58.89949417114258;17.953413009643555;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_RAS_1;58.90675354003906;17.956525802612305;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_RAS_2;58.907859802246094;17.95891761779785;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_RAS_3;58.90740966796875;17.959413528442383;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_RAS_4;58.91065979003906;17.959197998046875;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_RAS_5;58.91066360473633;17.959014892578125;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_artificial_habitat_1;58.90778350830078;17.95916748046875;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_artificial_habitat_2;58.90778350830078;17.958616256713867;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_artificial_habitat_3;58.907501220703125;17.958049774169922;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_fouling_plate_1;58.90778350830078;17.95916748046875;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_fouling_plate_2;58.90778350830078;17.958616256713867;6.0;7.0;Target HELCOM
SE;Port of Nynäshamn;SE_NYN;NH_fouling_plate_3;58.907501220703125;17.958049774169922;6.0;7.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_1;59.295833587646484;18.650550842285156;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_2;59.295833587646484;18.650550842285156;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_3;59.29695129394531;18.65166664123535;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_4;59.29716873168945;18.65142059326172;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_5;59.298736572265625;18.654552459716797;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_6;59.29999542236328;18.655515670776367;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_RAS_7;59.29814529418945;18.651247024536133;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_artificial_habitat_1;59.295833587646484;18.650550842285156;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_artificial_habitat_2;59.29666519165039;18.651382446289062;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_artificial_habitat_3;59.29999923706055;18.65471649169922;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_fouling_plate_1;59.295833587646484;18.650550842285156;5.0;6.0;Target HELCOM
SE;Bullandö marina;SE_BUL;BM_fouling_plate_2;59.29666519165039;18.651382446289062;5.0;6.0;Target HELCOM
